1200,2,1,Anna Nagar,3000000
2000,3,2,Anna Nagar,4500000
1500,2,1,Anna Nagar,3500000
1800,3,2,Anna Nagar,4000000
2200,4,3,Anna Nagar,6000000
1700,3,2,Anna Nagar,3800000
2500,4,3,Anna Nagar,5500000
1300,2,1,Anna Nagar,2800000
1600,3,2,Anna Nagar,3900000
2100,4,3,Anna Nagar,5300000
1800,3,2,Anna Nagar,4200000
1900,3,2,Anna Nagar,4400000
2400,4,3,Anna Nagar,5100000
1600,3,2,Anna Nagar,3700000
1400,2,1,Anna Nagar,2700000
2000,3,2,Anna Nagar,4800000
2500,4,3,Anna Nagar,6000000
1900,3,2,Anna Nagar,4300000
2100,4,3,Anna Nagar,5500000
2200,4,3,Anna Nagar,5900000
2500,4,3,Anna Nagar,6200000
1500,2,1,Anna Nagar,3300000
1700,3,2,Anna Nagar,3600000
1600,3,2,Anna Nagar,3750000
2000,3,2,Anna Nagar,4700000
2200,4,3,Anna Nagar,6400000
1800,3,2,Anna Nagar,4100000
2400,4,3,Anna Nagar,5200000
1500,2,1,Anna Nagar,3400000
1700,3,2,Anna Nagar,3900000
1900,3,2,Anna Nagar,4500000
2100,4,3,Anna Nagar,5600000
1600,3,2,Anna Nagar,3800000
2000,3,2,T. Nagar,4500000
1800,3,2,Velachery,4000000
2200,4,3,Adyar,6000000
1500,2,1,Kodambakkam,3500000
2600,4,3,Tambaram,5000000
1700,3,2,OMR,3800000
1400,2,1,ECR,3200000
3000,5,4,Porur,7500000
2400,4,3,Perambur,4700000
1600,3,2,Anna Nagar,3900000
2500,4,3,T. Nagar,5500000
1300,2,1,Velachery,2700000
1900,3,2,Adyar,4200000
2100,4,3,Kodambakkam,5500000
2000,3,2,Tambaram,4600000
2200,4,3,OMR,6200000
2500,4,3,ECR,5000000
1700,3,2,Porur,3800000
2400,4,3,Perambur,4900000
1800,3,2,Anna Nagar,4100000
1600,3,2,T. Nagar,3700000
2000,3,2,Velachery,4500000
1500,2,1,Adyar,3200000
2800,5,4,Kodambakkam,7000000
1700,3,2,Tambaram,3800000
2300,4,3,OMR,5600000
1900,3,2,ECR,4200000
2000,3,2,Porur,4800000
2200,4,3,Perambur,5200000
2400,4,3,Anna Nagar,5300000
2500,4,3,T. Nagar,5500000
2100,4,3,Velachery,5300000
1800,3,2,Adyar,4000000
1600,3,2,Kodambakkam,3700000
